symbol,exchange,market,name,sector_33_code,sector_33_name,scale_category,is_etf,is_reit,is_active
130A.T,1,growth,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,3250,医薬品,-,false,false,true
135A.T,1,growth,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,5250,情報・通信業,-,false,false,true
137A.T,1,growth,Ｃｏｃｏｌｉｖｅ,5250,情報・通信業,-,false,false,true
138A.T,1,growth,光フードサービス,6100,小売業,-,false,false,true
1401.T,1,growth,エムビーエス,2050,建設業,-,false,false,true
141A.T,1,growth,トライアルホールディングス,6100,小売業,-,false,false,true
142A.T,1,growth,ジンジブ,9050,サービス業,-,false,false,true
1431.T,1,growth,Ｌｉｂ　Ｗｏｒｋ,2050,建設業,-,false,false,true
1436.T,1,growth,グリーンエナジー＆カンパニー,2050,建設業,-,false,false,true
143A.T,1,growth,イシン,9050,サービス業,-,false,false,true
1444.T,1,growth,ニッソウ,2050,建設業,-,false,false,true
1447.T,1,growth,ＳＡＡＦホールディングス,2050,建設業,-,false,false,true
145A.T,1,growth,Ｌ　ｉｓ　Ｂ,5250,情報・通信業,-,false,false,true
147A.T,1,growth,ソラコム,5250,情報・通信業,-,false,false,true
148A.T,1,growth,ハッチ・ワーク,5250,情報・通信業,-,false,false,true
149A.T,1,growth,シンカ,5250,情報・通信業,-,false,false,true
150A.T,1,growth,ＪＳＨ,9050,サービス業,-,false,false,true
151A.T,1,growth,ダイブ,9050,サービス業,-,false,false,true
153A.T,1,growth,カウリス,5250,情報・通信業,-,false,false,true
155A.T,1,growth,情報戦略テクノロジー,5250,情報・通信業,-,false,false,true
156A.T,1,growth,マテリアルグループ,9050,サービス業,-,false,false,true
157A.T,1,growth,グリーンモンスター,9050,サービス業,-,false,false,true
166A.T,1,growth,タスキホールディングス,8050,不動産業,-,false,false,true
168A.T,1,growth,イタミアート,3800,その他製品,-,false,false,true
173A.T,1,growth,ハンモック,5250,情報・通信業,-,false,false,true
175A.T,1,growth,Ｗｉｌｌ　Ｓｍａｒｔ,5250,情報・通信業,-,false,false,true
177A.T,1,growth,コージンバイオ,3200,化学,-,false,false,true
184A.T,1,growth,学びエイド,5250,情報・通信業,-,false,false,true
186A.T,1,growth,アストロスケールホールディングス,9050,サービス業,-,false,false,true
189A.T,1,growth,Ｄ＆Ｍカンパニー,9050,サービス業,-,false,false,true
190A.T,1,growth,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,3250,医薬品,-,false,false,true
192A.T,1,growth,インテグループ,9050,サービス業,-,false,false,true
194A.T,1,growth,ＷＯＬＶＥＳ　ＨＡＮＤ,9050,サービス業,-,false,false,true
