symbol,exchange,market,name,sector_33_code,sector_33_name,scale_category,is_etf,is_reit,is_active
1301.T,1,prime,極洋,50,水産・農林業,TOPIX Small 1,false,false,true
1332.T,1,prime,ニッスイ,50,水産・農林業,TOPIX Mid400,false,false,true
1333.T,1,prime,Ｕｍｉｏｓ,50,水産・農林業,TOPIX Mid400,false,false,true
1375.T,1,prime,ユキグニファクトリー,50,水産・農林業,TOPIX Small 2,false,false,true
1377.T,1,prime,サカタのタネ,50,水産・農林業,TOPIX Small 1,false,false,true
1379.T,1,prime,ホクト,50,水産・農林業,TOPIX Small 2,false,false,true
1414.T,1,prime,ショーボンドホールディングス,2050,建設業,TOPIX Mid400,false,false,true
1417.T,1,prime,ミライト・ワン,2050,建設業,TOPIX Mid400,false,false,true
1419.T,1,prime,タマホーム,2050,建設業,TOPIX Small 1,false,false,true
1429.T,1,prime,日本アクア,2050,建設業,-,false,false,true
1433.T,1,prime,ベステラ,2050,建設業,-,false,false,true
1515.T,1,prime,日鉄鉱業,1050,鉱業,TOPIX Small 1,false,false,true
1518.T,1,prime,三井松島ホールディングス,3800,その他製品,TOPIX Small 1,false,false,true
1605.T,1,prime,ＩＮＰＥＸ,1050,鉱業,TOPIX Mid400,false,false,true
1662.T,1,prime,石油資源開発,1050,鉱業,TOPIX Small 1,false,false,true
1663.T,1,prime,Ｋ＆Ｏエナジーグループ,1050,鉱業,TOPIX Small 1,false,false,true
167A.T,1,prime,リョーサン菱洋ホールディングス,6050,卸売業,TOPIX Small 1,false,false,true
1719.T,1,prime,安藤・間,2050,建設業,TOPIX Mid400,false,false,true
1720.T,1,prime,東急建設,2050,建設業,TOPIX Small 1,false,false,true
1721.T,1,prime,コムシスホールディングス,2050,建設業,TOPIX Mid400,false,false,true
1726.T,1,prime,ビーアールホールディングス,2050,建設業,TOPIX Small 2,false,false,true
1762.T,1,prime,高松コンストラクショングループ,2050,建設業,TOPIX Small 2,false,false,true
1766.T,1,prime,東建コーポレーション,2050,建設業,TOPIX Small 1,false,false,true
1780.T,1,prime,ヤマウラ,2050,建設業,TOPIX Small 2,false,false,true
1786.T,1,prime,オリエンタル白石,2050,建設業,TOPIX Small 2,false,false,true
1801.T,1,prime,大成建設,2050,建設業,TOPIX Mid400,false,false,true
1802.T,1,prime,大林組,2050,建設業,TOPIX Mid400,false,false,true
1803.T,1,prime,清水建設,2050,建設業,TOPIX Mid400,false,false,true
1808.T,1,prime,長谷工コーポレーション,2050,建設業,TOPIX Mid400,false,false,true
1812.T,1,prime,鹿島建設,2050,建設業,TOPIX Mid400,false,false,true
1813.T,1,prime,不動テトラ,2050,建設業,TOPIX Small 2,false,false,true
1814.T,1,prime,大末建設,2050,建設業,-,false,false,true
1815.T,1,prime,鉄建建設,2050,建設業,TOPIX Small 2,false,false,true
1820.T,1,prime,西松建設,2050,建設業,TOPIX Mid400,false,false,true
1833.T,1,prime,奥村組,2050,建設業,TOPIX Small 1,false,false,true
1835.T,1,prime,東鉄工業,2050,建設業,TOPIX Small 1,false,false,true
1852.T,1,prime,淺沼組,2050,建設業,TOPIX Small 1,false,false,true
1860.T,1,prime,戸田建設,2050,建設業,TOPIX Mid400,false,false,true
1861.T,1,prime,熊谷組,2050,建設業,TOPIX Small 1,false,false,true
1870.T,1,prime,矢作建設工業,2050,建設業,TOPIX Small 1,false,false,true
1871.T,1,prime,ピーエス・コンストラクション,2050,建設業,TOPIX Small 2,false,false,true
1873.T,1,prime,日本ハウスホールディングス,2050,建設業,TOPIX Small 2,false,false,true
1878.T,1,prime,大東建託,8050,不動産業,TOPIX Mid400,false,false,true
1879.T,1,prime,新日本建設,2050,建設業,TOPIX Small 2,false,false,true
1882.T,1,prime,東亜道路工業,2050,建設業,TOPIX Small 1,false,false,true
1885.T,1,prime,東亜建設工業,2050,建設業,TOPIX Small 1,false,false,true
1887.T,1,prime,日本国土開発,2050,建設業,TOPIX Small 2,false,false,true
1888.T,1,prime,若築建設,2050,建設業,TOPIX Small 2,false,false,true
1893.T,1,prime,五洋建設,2050,建設業,TOPIX Mid400,false,false,true
1898.T,1,prime,世紀東急工業,2050,建設業,TOPIX Small 1,false,false,true
1899.T,1,prime,福田組,2050,建設業,TOPIX Small 2,false,false,true
1911.T,1,prime,住友林業,2050,建設業,TOPIX Mid400,false,false,true
1925.T,1,prime,大和ハウス工業,2050,建設業,TOPIX Large70,false,false,true
1926.T,1,prime,ライト工業,2050,建設業,TOPIX Small 1,false,false,true
1928.T,1,prime,積水ハウス,2050,建設業,TOPIX Large70,false,false,true
1929.T,1,prime,日特建設,2050,建設業,TOPIX Small 2,false,false,true
1930.T,1,prime,北陸電気工事,2050,建設業,TOPIX Small 2,false,false,true
1934.T,1,prime,ユアテック,2050,建設業,TOPIX Small 1,false,false,true
1938.T,1,prime,日本リーテック,2050,建設業,TOPIX Small 2,false,false,true
1939.T,1,prime,四電工,2050,建設業,TOPIX Small 2,false,false,true
1941.T,1,prime,中電工,2050,建設業,TOPIX Small 1,false,false,true
1942.T,1,prime,関電工,2050,建設業,TOPIX Mid400,false,false,true
1944.T,1,prime,きんでん,2050,建設業,TOPIX Mid400,false,false,true
1945.T,1,prime,東京エネシス,2050,建設業,TOPIX Small 2,false,false,true
1946.T,1,prime,トーエネック,2050,建設業,TOPIX Small 2,false,false,true
