コード,銘柄名,市場・商品区分,33業種コード,33業種区分,規模区分
9984,ソフトバンクグループ,プライム（内国株式）,5250,情報・通信業,TOPIX Core30
7203,トヨタ自動車,プライム（内国株式）,3700,輸送用機器,TOPIX Core30
6758,ソニーグループ,プライム（内国株式）,3650,電気機器,TOPIX Core30
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ETF・ETN,,-,
1321,ＮＥＸＴ　ＦＮＤＳ　日経２２５連動型上場投信,ETF・ETN,,-,
6613,ＱＤレーザー,グロース（内国株式）,3650,電気機器,TOPIX Small 1
3905,データセクション,スタンダード（内国株式）,5250,情報・通信業,TOPIX Small 1
5016,ＪＳＲ,プライム（内国株式）,3200,化学,TOPIX Mid400
5803,フジクラ,プライム（内国株式）,3650,電気機器,TOPIX Mid400
6526,ソシオネクスト,プライム（内国株式）,3650,電気機器,TOPIX Small 1
8473,ＳＢＩホールディングス,スタンダード（内国株式）,7100,その他金融業,TOPIX Small 1
3290,１株以上の単位株主の株式,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,,-,
9999,テスト監理銘柄,プライム（内国株式）,5250,情報・通信業,TOPIX Small 1
12345,不正コード銘柄,プライム（内国株式）,5250,情報・通信業,-
