symbol,exchange,market,name,sector_33_code,sector_33_name,scale_category,is_etf,is_reit,is_active
1376.T,1,standard,カネコ種苗,50,水産・農林業,TOPIX Small 2,false,false,true
1380.T,1,standard,秋川牧園,50,水産・農林業,-,false,false,true
1381.T,1,standard,アクシーズ,50,水産・農林業,-,false,false,true
1382.T,1,standard,ホーブ,50,水産・農林業,-,false,false,true
1383.T,1,standard,ベルグアース,50,水産・農林業,-,false,false,true
1384.T,1,standard,ホクリヨウ,50,水産・農林業,-,false,false,true
1407.T,1,standard,ウエストホールディングス,2050,建設業,-,false,false,true
1418.T,1,standard,インターライフホールディングス,2050,建設業,-,false,false,true
1420.T,1,standard,サンヨーホームズ,2050,建設業,-,false,false,true
1430.T,1,standard,ファーストコーポレーション,2050,建設業,-,false,false,true
1434.T,1,standard,ＪＥＳＣＯホールディングス,2050,建設業,-,false,false,true
1435.T,1,standard,ｒｏｂｏｔ　ｈｏｍｅ,8050,不動産業,TOPIX Small 2,false,false,true
1438.T,1,standard,岐阜造園,2050,建設業,-,false,false,true
1443.T,1,standard,技研ホールディングス,2050,建設業,-,false,false,true
1446.T,1,standard,キャンディル,2050,建設業,-,false,false,true
1450.T,1,standard,ＴＡＮＡＫＥＮ,2050,建設業,-,false,false,true
146A.T,1,standard,コロンビア・ワークス,8050,不動産業,-,false,false,true
1491.T,1,standard,中外鉱業,3500,非鉄金属,-,false,false,true
1514.T,1,standard,住石ホールディングス,1050,鉱業,TOPIX Small 2,false,false,true
160A.T,1,standard,アズパートナーズ,9050,サービス業,-,false,false,true
1711.T,1,standard,ＳＤＳホールディングス,2050,建設業,-,false,false,true
1716.T,1,standard,第一カッター興業,2050,建設業,TOPIX Small 2,false,false,true
1717.T,1,standard,明豊ファシリティワークス,9050,サービス業,-,false,false,true
1718.T,1,standard,美樹工業,2050,建設業,-,false,false,true
1723.T,1,standard,日本電技,2050,建設業,-,false,false,true
1724.T,1,standard,シンクレイヤ,2050,建設業,-,false,false,true
1736.T,1,standard,オーテック,2050,建設業,-,false,false,true
1758.T,1,standard,太洋基礎工業,2050,建設業,-,false,false,true
1764.T,1,standard,工藤建設,2050,建設業,-,false,false,true
1768.T,1,standard,ソネック,2050,建設業,-,false,false,true
1770.T,1,standard,藤田エンジニアリング,2050,建設業,-,false,false,true
1776.T,1,standard,三井住建道路,2050,建設業,-,false,false,true
1783.T,1,standard,ｆａｎｔａｓｉｓｔａ,8050,不動産業,-,false,false,true
1787.T,1,standard,ナカボーテック,2050,建設業,-,false,false,true
1788.T,1,standard,三東工業社,2050,建設業,-,false,false,true
1793.T,1,standard,大本組,2050,建設業,-,false,false,true
1795.T,1,standard,マサル,2050,建設業,-,false,false,true
1798.T,1,standard,守谷商会,2050,建設業,-,false,false,true
1799.T,1,standard,第一建設工業,2050,建設業,-,false,false,true
1807.T,1,standard,佐藤渡辺,2050,建設業,-,false,false,true
1810.T,1,standard,松井建設,2050,建設業,TOPIX Small 2,false,false,true
1811.T,1,standard,錢高組,2050,建設業,-,false,false,true
1822.T,1,standard,大豊建設,2050,建設業,TOPIX Small 2,false,false,true
1826.T,1,standard,佐田建設,2050,建設業,-,false,false,true
1827.T,1,standard,ナカノフドー建設,2050,建設業,-,false,false,true
1828.T,1,standard,田辺工業,2050,建設業,-,false,false,true
1840.T,1,standard,土屋ホールディングス,2050,建設業,-,false,false,true
1844.T,1,standard,大盛工業,2050,建設業,-,false,false,true
1847.T,1,standard,イチケン,2050,建設業,-,false,false,true
1848.T,1,standard,富士ピー・エス,2050,建設業,-,false,false,true
1850.T,1,standard,南海辰村建設,2050,建設業,-,false,false,true
1853.T,1,standard,森組,2050,建設業,-,false,false,true
1866.T,1,standard,北野建設,2050,建設業,-,false,false,true
1867.T,1,standard,植木組,2050,建設業,-,false,false,true
1897.T,1,standard,金下建設,2050,建設業,-,false,false,true
1904.T,1,standard,大成温調,2050,建設業,-,false,false,true
1905.T,1,standard,テノックス,2050,建設業,-,false,false,true
1909.T,1,standard,日本ドライケミカル,3600,機械,-,false,false,true
1914.T,1,standard,日本基礎技術,2050,建設業,-,false,false,true
1921.T,1,standard,巴コーポレーション,2050,建設業,-,false,false,true
1948.T,1,standard,弘電社,2050,建設業,-,false,false,true
1960.T,1,standard,サンテック,2050,建設業,-,false,false,true
1965.T,1,standard,テクノ菱和,2050,建設業,-,false,false,true
1966.T,1,standard,高田工業所,2050,建設業,-,false,false,true
1967.T,1,standard,ヤマト,2050,建設業,-,false,false,true
1972.T,1,standard,三晃金属工業,2050,建設業,-,false,false,true
197A.T,1,standard,タウンズ,3250,医薬品,-,false,false,true
1981.T,1,standard,協和日成,2050,建設業,-,false,false,true
1992.T,1,standard,神田通信機,2050,建設業,-,false,false,true
1994.T,1,standard,高橋カーテンウォール工業,2050,建設業,-,false,false,true
1997.T,1,standard,暁飯島工業,2050,建設業,-,false,false,true
2003.T,1,standard,日東富士製粉,3050,食料品,TOPIX Small 2,false,false,true
2009.T,1,standard,鳥越製粉,3050,食料品,-,false,false,true
2055.T,1,standard,日和産業,3050,食料品,-,false,false,true
208A.T,1,standard,構造計画研究所ホールディングス,5250,情報・通信業,-,false,false,true
2112.T,1,standard,塩水港精糖,3050,食料品,-,false,false,true
2114.T,1,standard,フジ日本,3050,食料品,-,false,false,true
211A.T,1,standard,カドス・コーポレーション,2050,建設業,-,false,false,true
2122.T,1,standard,インタースペース,9050,サービス業,-,false,false,true
2134.T,1,standard,北浜キャピタルパートナーズ,9050,サービス業,-,false,false,true
2136.T,1,standard,ヒップ,9050,サービス業,-,false,false,true
2138.T,1,standard,クルーズ,5250,情報・通信業,-,false,false,true
2139.T,1,standard,中広,9050,サービス業,-,false,false,true
2152.T,1,standard,幼児活動研究会,9050,サービス業,-,false,false,true
2156.T,1,standard,セーラー広告,9050,サービス業,-,false,false,true
2162.T,1,standard,ｎｍｓ　ホールディングス,9050,サービス業,-,false,false,true
2164.T,1,standard,地域新聞社,9050,サービス業,-,false,false,true
2169.T,1,standard,ＣＤＳ,9050,サービス業,-,false,false,true
2179.T,1,standard,成学社,9050,サービス業,-,false,false,true
2180.T,1,standard,サニーサイドアップグループ,9050,サービス業,-,false,false,true
2183.T,1,standard,リニカル,9050,サービス業,-,false,false,true
2185.T,1,standard,シイエム・シイ,9050,サービス業,-,false,false,true
2186.T,1,standard,ソーバル,9050,サービス業,-,false,false,true
2193.T,1,standard,クックパッド,9050,サービス業,TOPIX Small 2,false,false,true
2204.T,1,standard,中村屋,3050,食料品,TOPIX Small 2,false,false,true
2208.T,1,standard,ブルボン,3050,食料品,-,false,false,true
220A.T,1,standard,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,5250,情報・通信業,-,false,false,true
2215.T,1,standard,第一屋製パン,3050,食料品,-,false,false,true
2216.T,1,standard,カンロ,3050,食料品,-,false,false,true
2221.T,1,standard,岩塚製菓,3050,食料品,-,false,false,true
2224.T,1,standard,コモ,3050,食料品,-,false,false,true
2226.T,1,standard,湖池屋,3050,食料品,-,false,false,true
2268.T,1,standard,Ｂ－Ｒ　サーティワン　アイスクリーム,3050,食料品,-,false,false,true
2286.T,1,standard,林兼産業,3050,食料品,-,false,false,true
2291.T,1,standard,福留ハム,3050,食料品,-,false,false,true
2293.T,1,standard,滝沢ハム,3050,食料品,-,false,false,true
2300.T,1,standard,きょくとう,9050,サービス業,-,false,false,true
2303.T,1,standard,ドーン,5250,情報・通信業,-,false,false,true
2304.T,1,standard,ＣＳＳホールディングス,9050,サービス業,-,false,false,true
2305.T,1,standard,スタジオアリス,9050,サービス業,TOPIX Small 2,false,false,true
2311.T,1,standard,エプコ,9050,サービス業,-,false,false,true
2315.T,1,standard,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,5250,情報・通信業,-,false,false,true
2323.T,1,standard,ｆｏｎｆｕｎ,5250,情報・通信業,-,false,false,true
2329.T,1,standard,東北新社,5250,情報・通信業,-,false,false,true
2330.T,1,standard,フォーサイド,5250,情報・通信業,-,false,false,true
2332.T,1,standard,クエスト,5250,情報・通信業,-,false,false,true
2338.T,1,standard,クオンタムソリューションズ,5250,情報・通信業,-,false,false,true
2340.T,1,standard,極楽湯ホールディングス,9050,サービス業,-,false,false,true
2341.T,1,standard,アルバイトタイムス,9050,サービス業,-,false,false,true
2342.T,1,standard,トランスジェニックグループ,9050,サービス業,-,false,false,true
2344.T,1,standard,平安レイサービス,9050,サービス業,-,false,false,true
2345.T,1,standard,ＨＯＤＬ１,5250,情報・通信業,-,false,false,true
2349.T,1,standard,エヌアイデイ,5250,情報・通信業,-,false,false,true
2351.T,1,standard,ＡＳＪ,5250,情報・通信業,-,false,false,true
2354.T,1,standard,ＹＥ　ＤＩＧＩＴＡＬ,5250,情報・通信業,-,false,false,true
2373.T,1,standard,ケア２１,9050,サービス業,-,false,false,true
2375.T,1,standard,ギグワークス,9050,サービス業,-,false,false,true
2376.T,1,standard,サイネックス,9050,サービス業,-,false,false,true
2391.T,1,standard,プラネット,9050,サービス業,-,false,false,true
2393.T,1,standard,日本ケアサプライ,9050,サービス業,-,false,false,true
2404.T,1,standard,鉄人化ホールディングス,9050,サービス業,-,false,false,true
2408.T,1,standard,ＫＧ情報,9050,サービス業,-,false,false,true
2411.T,1,standard,ゲンダイエージェンシー,5250,情報・通信業,-,false,false,true
2415.T,1,standard,ヒューマンホールディングス,9050,サービス業,-,false,false,true
2418.T,1,standard,ツカダ・グローバルホールディング,9050,サービス業,-,false,false,true
2424.T,1,standard,ブラス,9050,サービス業,-,false,false,true
2425.T,1,standard,ケアサービス,9050,サービス業,-,false,false,true
2428.T,1,standard,ウェルネット,9050,サービス業,-,false,false,true
2435.T,1,standard,シダー,9050,サービス業,-,false,false,true
2436.T,1,standard,共同ピーアール,9050,サービス業,-,false,false,true
2437.T,1,standard,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,9050,サービス業,-,false,false,true
2440.T,1,standard,ぐるなび,9050,サービス業,TOPIX Small 2,false,false,true
2445.T,1,standard,タカミヤ,9050,サービス業,TOPIX Small 2,false,false,true
2449.T,1,standard,プラップジャパン,9050,サービス業,-,false,false,true
2454.T,1,standard,オールアバウト,9050,サービス業,-,false,false,true
2459.T,1,standard,アウンコンサルティング,9050,サービス業,-,false,false,true
2464.T,1,standard,Ａｏｂａ‐ＢＢＴ,9050,サービス業,-,false,false,true
2469.T,1,standard,ヒビノ,9050,サービス業,-,false,false,true
2477.T,1,standard,手間いらず,5250,情報・通信業,TOPIX Small 2,false,false,true
2479.T,1,standard,ジェイテック,9050,サービス業,-,false,false,true
2480.T,1,standard,システム・ロケーション,5250,情報・通信業,-,false,false,true
2481.T,1,standard,タウンニュース社,9050,サービス業,-,false,false,true
2483.T,1,standard,翻訳センター,9050,サービス業,-,false,false,true
2484.T,1,standard,出前館,5250,情報・通信業,-,false,false,true
2485.T,1,standard,ティア,9050,サービス業,-,false,false,true
2488.T,1,standard,ＪＴＰ,9050,サービス業,-,false,false,true
2489.T,1,standard,アドウェイズ,9050,サービス業,TOPIX Small 2,false,false,true
2493.T,1,standard,イーサポートリンク,9050,サービス業,-,false,false,true
2498.T,1,standard,オリエンタルコンサルタンツホールディングス,9050,サービス業,-,false,false,true
2499.T,1,standard,日本和装ホールディングス,9050,サービス業,-,false,false,true
250A.T,1,standard,シマダヤ,3050,食料品,TOPIX Small 2,false,false,true
253A.T,1,standard,ＥＴＳグループ,2050,建設業,-,false,false,true
254A.T,1,standard,ＡＩフュージョンキャピタルグループ,7100,証券、商品先物取引業,-,false,false,true
255A.T,1,standard,ジーエルテクノホールディングス,3750,精密機器,-,false,false,true
2573.T,1,standard,北海道コカ・コーラボトリング,3050,食料品,-,false,false,true
2588.T,1,standard,プレミアムウォーターホールディングス,3050,食料品,-,false,false,true
2597.T,1,standard,ユニカフェ,3050,食料品,-,false,false,true
2612.T,1,standard,かどや製油,3050,食料品,-,false,false,true
