symbol,exchange,market,name,sector_33_code,sector_33_name,scale_category,is_etf,is_reit,is_active
1301.T,1,prime,極洋,50,水産・農林業,TOPIX Small 1,false,false,true
130A.T,1,growth,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,3250,医薬品,-,false,false,true
1332.T,1,prime,ニッスイ,50,水産・農林業,TOPIX Mid400,false,false,true
1333.T,1,prime,Ｕｍｉｏｓ,50,水産・農林業,TOPIX Mid400,false,false,true
135A.T,1,growth,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,5250,情報・通信業,-,false,false,true
1375.T,1,prime,ユキグニファクトリー,50,水産・農林業,TOPIX Small 2,false,false,true
1376.T,1,standard,カネコ種苗,50,水産・農林業,TOPIX Small 2,false,false,true
1377.T,1,prime,サカタのタネ,50,水産・農林業,TOPIX Small 1,false,false,true
1379.T,1,prime,ホクト,50,水産・農林業,TOPIX Small 2,false,false,true
137A.T,1,growth,Ｃｏｃｏｌｉｖｅ,5250,情報・通信業,-,false,false,true
1380.T,1,standard,秋川牧園,50,水産・農林業,-,false,false,true
1381.T,1,standard,アクシーズ,50,水産・農林業,-,false,false,true
1382.T,1,standard,ホーブ,50,水産・農林業,-,false,false,true
1383.T,1,standard,ベルグアース,50,水産・農林業,-,false,false,true
1384.T,1,standard,ホクリヨウ,50,水産・農林業,-,false,false,true
138A.T,1,growth,光フードサービス,6100,小売業,-,false,false,true
1401.T,1,growth,エムビーエス,2050,建設業,-,false,false,true
1407.T,1,standard,ウエストホールディングス,2050,建設業,-,false,false,true
1414.T,1,prime,ショーボンドホールディングス,2050,建設業,TOPIX Mid400,false,false,true
1417.T,1,prime,ミライト・ワン,2050,建設業,TOPIX Mid400,false,false,true
1418.T,1,standard,インターライフホールディングス,2050,建設業,-,false,false,true
1419.T,1,prime,タマホーム,2050,建設業,TOPIX Small 1,false,false,true
141A.T,1,growth,トライアルホールディングス,6100,小売業,-,false,false,true
1420.T,1,standard,サンヨーホームズ,2050,建設業,-,false,false,true
