symbol,exchange,symbol_key,symbol_name,passed,exclude_reasons
1306,1,1306@1,1306,True,
1321,1,1321@1,1321,True,
5016,1,5016@1,5016,True,
5803,1,5803@1,5803,True,
6315,1,6315@1,6315,True,
6501,1,6501@1,6501,True,
6526,1,6526@1,6526,True,
6857,1,6857@1,6857,True,
6890,1,6890@1,6890,True,
6920,1,6920@1,6920,True,
7003,1,7003@1,7003,True,
7011,1,7011@1,7011,True,
7012,1,7012@1,7012,True,
7013,1,7013@1,7013,True,
7203,1,7203@1,7203,True,
7974,1,7974@1,7974,True,
8001,1,8001@1,8001,True,
8002,1,8002@1,8002,True,
8031,1,8031@1,8031,True,
8058,1,8058@1,8058,True,
8136,1,8136@1,8136,True,
8306,1,8306@1,8306,True,
8473,1,8473@1,8473,True,
9412,1,9412@1,9412,True,
9432,1,9432@1,9432,True,
9434,1,9434@1,9434,True,
9984,1,9984@1,9984,True,
