symbol,entry_time,entry_price,exit_time,exit_price,pnl_pct,exit_reason,max_favorable_excursion_pct,max_adverse_excursion_pct,elapsed_min,signal_score_at_entry,data_source,trade_date
9984.T,2026-05-01T00:07:00+00:00,5428.0,2026-05-01T00:07:12+00:00,5386.0,-0.773766,breakout_failure,0.092115,-0.773766,0.2,65,yahoo_synthetic_push,2026-05-01
9984.T,2026-05-01T00:08:00+00:00,5445.0,2026-05-01T00:08:12+00:00,5418.0,-0.495868,breakout_failure,0.146924,-0.495868,0.2,65,yahoo_synthetic_push,2026-05-01
9984.T,2026-05-01T00:10:06+00:00,5466.0,2026-05-01T00:10:12+00:00,5401.0,-1.189169,breakout_failure,0.0,-1.189169,0.1,65,yahoo_synthetic_push,2026-05-01
8306.T,2026-05-01T01:47:00+00:00,2798.0,2026-05-01T01:49:12+00:00,2797.5,-0.01787,board_imbalance_deterioration,0.07148,-0.07148,2.2,65,yahoo_synthetic_push,2026-05-01
9984.T,2026-05-07T01:04:00+00:00,6121.0,2026-05-07T01:04:12+00:00,6092.0,-0.473779,breakout_failure,0.11436,-0.473779,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T01:06:00+00:00,6149.0,2026-05-07T01:06:12+00:00,6134.0,-0.243942,breakout_failure,0.260205,-0.243942,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T01:19:00+00:00,6188.0,2026-05-07T01:19:12+00:00,6158.0,-0.484809,breakout_failure,0.080802,-0.484809,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T01:21:00+00:00,6219.0,2026-05-07T01:21:12+00:00,6189.0,-0.482393,breakout_failure,0.096479,-0.482393,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T01:55:00+00:00,6244.0,2026-05-07T01:55:12+00:00,6209.0,-0.560538,breakout_failure,0.016015,-0.560538,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T01:58:00+00:00,6253.0,2026-05-07T01:58:12+00:00,6237.0,-0.255877,breakout_failure,0.095954,-0.255877,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T02:26:00+00:00,6305.0,2026-05-07T02:26:12+00:00,6289.0,-0.253767,breakout_failure,0.063442,-0.253767,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T03:36:00+00:00,6347.0,2026-05-07T03:36:12+00:00,6339.0,-0.126044,breakout_failure,0.141799,-0.126044,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T03:37:00+00:00,6368.0,2026-05-07T03:37:12+00:00,6327.0,-0.643844,breakout_failure,0.031407,-0.643844,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T03:38:00+00:00,6392.0,2026-05-07T03:38:12+00:00,6358.0,-0.531915,breakout_failure,0.078223,-0.531915,0.2,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T03:42:06+00:00,6412.0,2026-05-07T03:42:12+00:00,6390.0,-0.343107,breakout_failure,0.0,-0.343107,0.1,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-07T03:45:06+00:00,6424.0,2026-05-07T03:45:12+00:00,6404.0,-0.311333,breakout_failure,0.0,-0.311333,0.1,80,yahoo_synthetic_push,2026-05-07
9984.T,2026-05-12T00:06:00+00:00,5939.0,2026-05-12T00:06:12+00:00,5907.0,-0.538811,breakout_failure,0.185216,-0.538811,0.2,65,yahoo_synthetic_push,2026-05-12
9984.T,2026-05-12T02:05:06+00:00,6008.0,2026-05-12T02:05:12+00:00,5984.0,-0.399467,breakout_failure,0.0,-0.399467,0.1,80,yahoo_synthetic_push,2026-05-12
9984.T,2026-05-14T00:05:06+00:00,6069.0,2026-05-14T00:05:12+00:00,5943.0,-2.076125,hard_stop,0.0,-2.076125,0.1,65,yahoo_synthetic_push,2026-05-14
9984.T,2026-05-15T01:15:00+00:00,6005.0,2026-05-15T01:15:12+00:00,5983.0,-0.366361,breakout_failure,0.049958,-0.366361,0.2,80,yahoo_synthetic_push,2026-05-15
