symbol,trades,win_rate,total_pnl_pct,avg_pnl_pct,median_pnl_pct,max_loss_pct,avg_loss_pct,profit_factor,exit_reason_counts
5016.T,3,0.0,-4.893730731345283,-1.6312435771150942,-1.986632008911994,-2.188679245283019,-1.6312435771150942,0.0,"{""breakout_failure"": 1, ""hard_stop"": 2}"
5803.T,15,0.0,-13.278925147288442,-0.8852616764858962,-0.8406725380304243,-1.7277214861002859,-0.8852616764858962,0.0,"{""breakout_failure"": 8, ""hard_stop"": 6, ""board_imbalance_deterioration"": 1}"
6315.T,1,0.0,-0.44709388971684055,-0.44709388971684055,-0.44709388971684055,-0.44709388971684055,-0.44709388971684055,0.0,"{""breakout_failure"": 1}"
6890.T,2,0.0,-0.4576665030273278,-0.2288332515136639,-0.2288332515136639,-0.22909507445589922,-0.2288332515136639,0.0,"{""breakout_failure"": 1, ""board_imbalance_deterioration"": 1}"
7013.T,3,0.0,-8.158890287448633,-2.719630095816211,-3.159795365633464,-4.504504504504505,-2.719630095816211,0.0,"{""hard_stop"": 2, ""breakout_failure"": 1}"
8001.T,1,0.0,-1.0052777079668258,-1.0052777079668258,-1.0052777079668258,-1.0052777079668258,-1.0052777079668258,0.0,"{""breakout_failure"": 1}"
8002.T,1,0.0,-4.935064935064935,-4.935064935064935,-4.935064935064935,-4.935064935064935,-4.935064935064935,0.0,"{""hard_stop"": 1}"
8058.T,2,0.0,-3.4025709942830282,-1.7012854971415141,-1.7012854971415141,-3.057624460995688,-1.7012854971415141,0.0,"{""hard_stop"": 1, ""breakout_failure"": 1}"
8306.T,1,0.0,-0.017869907076483203,-0.017869907076483203,-0.017869907076483203,-0.017869907076483203,-0.017869907076483203,0.0,"{""board_imbalance_deterioration"": 1}"
9984.T,54,0.0,-33.74204029035838,-0.6248525979695997,-0.5054616180534637,-2.3255813953488373,-0.6248525979695997,0.0,"{""breakout_failure"": 49, ""hard_stop"": 4, ""board_imbalance_deterioration"": 1}"
