sweep_id,sweep_group,fail_window_min,fail_buffer_pct,bf_confirm_count,no_entry_until,hard_stop_pct,trades,symbols_with_trades,win_rate,total_pnl_pct,avg_pnl_pct,median_pnl_pct,max_loss_pct,profit_factor,breakout_failure_exit_count,hard_stop_count,opening_trade_count,pnl_concentration_top_symbol,pnl_concentration_top_share,excluded_low_trades,trade_floor
baseline,baseline,2.0,0.1,1,09:00,1.2,83,10,0.0,-70.33913039357618,-0.8474594023322432,-0.5717916137229987,-4.935064935064935,0.0,63,16,27,9984.T,0.4797,False,45
bf_fw1_buf0.05_cc1,breakout_failure,1.0,0.05,1,09:00,1.2,83,10,0.0,-70.88530756360488,-0.8540398501639143,-0.5717916137229987,-4.935064935064935,0.0,65,16,27,9984.T,0.4796,False,45
bf_fw1_buf0.05_cc2,breakout_failure,1.0,0.05,2,09:00,1.2,67,10,0.13432835820895522,-49.49427479388024,-0.7387205193116454,-0.34476501542369803,-4.935064935064935,0.04995876784978759,10,17,21,9984.T,0.3062,False,45
bf_fw1_buf0.12_cc1,breakout_failure,1.0,0.12,1,09:00,1.2,78,10,0.01282051282051282,-66.40839827849953,-0.8513897215192248,-0.5768186418802042,-4.935064935064935,0.017940600605890516,54,16,27,9984.T,0.4489,False,45
bf_fw1_buf0.12_cc2,breakout_failure,1.0,0.12,2,09:00,1.2,67,10,0.13432835820895522,-49.660719534226445,-0.7412047691675588,-0.4136642647451294,-4.935064935064935,0.04979966279878298,9,17,21,9984.T,0.3085,False,45
bf_fw1_buf0.20_cc1,breakout_failure,1.0,0.2,1,09:00,1.2,75,10,0.06666666666666667,-62.13212650767616,-0.8284283534356821,-0.572875033306688,-4.935064935064935,0.032577949142182275,39,16,27,9984.T,0.428,False,45
bf_fw1_buf0.20_cc2,breakout_failure,1.0,0.2,2,09:00,1.2,68,10,0.11764705882352941,-51.3623293369232,-0.7553283726018118,-0.4893884746542508,-4.935064935064935,0.04757910479740779,5,17,22,9984.T,0.3276,False,45
bf_fw2_buf0.05_cc1,breakout_failure,2.0,0.05,1,09:00,1.2,83,10,0.0,-70.88530756360488,-0.8540398501639143,-0.5717916137229987,-4.935064935064935,0.0,65,16,27,9984.T,0.4796,False,45
bf_fw2_buf0.05_cc2,breakout_failure,2.0,0.05,2,09:00,1.2,67,10,0.13432835820895522,-48.38819413979716,-0.7222118528327934,-0.3331112591605596,-4.935064935064935,0.051042459885181315,17,17,21,9984.T,0.2936,False,45
bf_fw2_buf0.12_cc1,breakout_failure,2.0,0.12,1,09:00,1.2,81,10,0.0,-69.22996623843947,-0.8546909412153022,-0.5717916137229987,-4.935064935064935,0.0,59,16,27,9984.T,0.4714,False,45
bf_fw2_buf0.12_cc2,breakout_failure,2.0,0.12,2,09:00,1.2,67,10,0.13432835820895522,-48.576447054360194,-0.7250215978262715,-0.34476501542369803,-4.935064935064935,0.050854709751374745,16,17,21,9984.T,0.2964,False,45
bf_fw2_buf0.20_cc1,breakout_failure,2.0,0.2,1,09:00,1.2,77,10,0.05194805194805195,-64.25046629076625,-0.8344216401398215,-0.5717916137229987,-4.935064935064935,0.013498142114599296,43,16,27,9984.T,0.4468,False,45
bf_fw2_buf0.20_cc2,breakout_failure,2.0,0.2,2,09:00,1.2,68,10,0.11764705882352941,-50.16707205187877,-0.7377510595864525,-0.40906863011227446,-4.935064935064935,0.04865754430580314,14,17,22,9984.T,0.3158,False,45
bf_fw3_buf0.05_cc1,breakout_failure,3.0,0.05,1,09:00,1.2,83,10,0.0,-70.88530756360488,-0.8540398501639143,-0.5717916137229987,-4.935064935064935,0.0,65,16,27,9984.T,0.4796,False,45
bf_fw3_buf0.05_cc2,breakout_failure,3.0,0.05,2,09:00,1.2,67,10,0.13432835820895522,-47.35434674950166,-0.7067812947686815,-0.32175032175032175,-4.935064935064935,0.052098769587932164,19,17,21,9984.T,0.2863,False,45
bf_fw3_buf0.12_cc1,breakout_failure,3.0,0.12,1,09:00,1.2,81,10,0.0,-69.22996623843947,-0.8546909412153022,-0.5717916137229987,-4.935064935064935,0.0,59,16,27,9984.T,0.4714,False,45
bf_fw3_buf0.12_cc2,breakout_failure,3.0,0.12,2,09:00,1.2,67,10,0.13432835820895522,-47.45421359370938,-0.7082718446822296,-0.3243512974051896,-4.935064935064935,0.05199482910780498,18,17,21,9984.T,0.2878,False,45
bf_fw3_buf0.20_cc1,breakout_failure,3.0,0.2,1,09:00,1.2,77,10,0.05194805194805195,-64.25046629076625,-0.8344216401398215,-0.5717916137229987,-4.935064935064935,0.013498142114599296,45,16,27,9984.T,0.4468,False,45
