section,key,trades,win_rate,total_pnl_pct,avg_pnl_pct,median_pnl_pct,max_loss_pct,avg_loss_pct,profit_factor,extra
overall,all,83,0.0,-70.339129,-0.8474593855421687,-0.571792,-4.935065,-0.8474593855421687,0.0,
by_symbol,9984.T,54,0.0,-33.74204,-0.6248525925925926,-0.5054615,-2.325581,-0.6248525925925926,0.0,"{""breakout_failure"": 49, ""hard_stop"": 4, ""board_imbalance_deterioration"": 1}"
by_symbol,5803.T,15,0.0,-13.278925000000001,-0.8852616666666667,-0.840673,-1.727721,-0.8852616666666667,0.0,"{""breakout_failure"": 8, ""hard_stop"": 6, ""board_imbalance_deterioration"": 1}"
by_symbol,7013.T,3,0.0,-8.15889,-2.71963,-3.159795,-4.504505,-2.71963,0.0,"{""hard_stop"": 2, ""breakout_failure"": 1}"
by_symbol,8002.T,1,0.0,-4.935065,-4.935065,-4.935065,-4.935065,-4.935065,0.0,"{""hard_stop"": 1}"
by_symbol,5016.T,3,0.0,-4.89373,-1.6312433333333334,-1.986632,-2.188679,-1.6312433333333334,0.0,"{""breakout_failure"": 1, ""hard_stop"": 2}"
by_symbol,8058.T,2,0.0,-3.402571,-1.7012855,-1.7012855,-3.057624,-1.7012855,0.0,"{""hard_stop"": 1, ""breakout_failure"": 1}"
by_symbol,8001.T,1,0.0,-1.005278,-1.005278,-1.005278,-1.005278,-1.005278,0.0,"{""breakout_failure"": 1}"
by_symbol,6890.T,2,0.0,-0.457666,-0.228833,-0.228833,-0.229095,-0.228833,0.0,"{""breakout_failure"": 1, ""board_imbalance_deterioration"": 1}"
by_symbol,6315.T,1,0.0,-0.447094,-0.447094,-0.447094,-0.447094,-0.447094,0.0,"{""breakout_failure"": 1}"
by_symbol,8306.T,1,0.0,-0.01787,-0.01787,-0.01787,-0.01787,-0.01787,0.0,"{""board_imbalance_deterioration"": 1}"
by_day,2026-04-10,1,0.0,-0.52622,-0.52622,-0.52622,-0.52622,-0.52622,0.0,"{""winning_day"": false}"
by_day,2026-04-13,1,0.0,-1.332445,-1.332445,-1.332445,-1.332445,-1.332445,0.0,"{""winning_day"": false}"
by_day,2026-04-14,5,0.0,-2.54205,-0.50841,-0.462737,-0.718419,-0.50841,0.0,"{""winning_day"": false}"
by_day,2026-04-15,3,0.0,-2.251054,-0.7503513333333334,-0.486941,-1.564246,-0.7503513333333334,0.0,"{""winning_day"": false}"
by_day,2026-04-16,3,0.0,-1.49786,-0.49928666666666666,-0.571792,-0.622051,-0.49928666666666666,0.0,"{""winning_day"": false}"
