=== regime_filter sweep ===
saved_at_jst: 2026-05-09 18:18:30
sweep_stamp: 20260509_175328
repeat_per_cell: 10
replay_mode: fast
replay_seed: 12345

configs:
  - C:\Users\yhach\Documents\tradebotfile\configs\regime_filter_sweep\replay_morning_vwap2_regime_baseline_off.json
  - C:\Users\yhach\Documents\tradebotfile\configs\regime_filter_sweep\replay_morning_vwap2_regime_disable_morning_weak.json
  - C:\Users\yhach\Documents\tradebotfile\configs\regime_filter_sweep\replay_morning_vwap2_regime_disable_rising_ratio_lt50.json
  - C:\Users\yhach\Documents\tradebotfile\configs\regime_filter_sweep\replay_morning_vwap2_regime_disable_topix_weak.json
  - C:\Users\yhach\Documents\tradebotfile\configs\regime_filter_sweep\replay_morning_vwap2_regime_disable_morning_weak__disable_rising_ratio_lt50.json

ソート: avg_expectancy_yen_100_shares（降順）

rank	config_name	replay_range	avg_expectancy_yen	total_pnl_100_shares	max_lose_run_yen	plus_runs	minus_runs	lose_worst10_sum_yen	total_signals	max_intraday_drawdown	skipped_signals_count	results_folder
1	replay_morning_vwap2_regime_baseline_off	random_60d	+1818.39	+867934.35	-18727.81	8	2	-512269.53	386	+48999.35	0	results/regime_filter_sweep_20260509_175328\replay_morning_vwap2_regime_baseline_off_random_60d/
2	replay_morning_vwap2_regime_disable_topix_weak	random_60d	+1766.30	+738248.71	-47420.05	7	3	-415542.92	293	+48999.35	116	results/regime_filter_sweep_20260509_175328\replay_morning_vwap2_regime_disable_topix_weak_random_60d/
3	replay_morning_vwap2_regime_disable_topix_weak	random_apr	+1758.90	+761530.09	-66365.85	6	4	-664470.62	328	+48999.35	84	results/regime_filter_sweep_20260509_175328\replay_morning_vwap2_regime_disable_topix_weak_random_apr/
4	replay_morning_vwap2_regime_baseline_off	random_apr	+1699.27	+826570.41	-64078.26	7	3	-712127.39	408	+48999.35	0	results/regime_filter_sweep_20260509_175328\replay_morning_vwap2_regime_baseline_off_random_apr/
5	replay_morning_vwap2_regime_disable_morning_weak	random_apr	+0.00	+0.00	+0.00	0	0	+0.00	0	+0.00	0	results/regime_filter_sweep_20260509_175328\replay_morning_vwap2_regime_disable_morning_weak_random_apr/
6	replay_morning_vwap2_regime_disable_morning_weak	random_60d	+0.00	+0.00	+0.00	0	0	+0.00	0	+0.00	0	results/regime_filter_sweep_20260509_175328\replay_morning_vwap2_regime_disable_morning_weak_random_60d/
7	replay_morning_vwap2_regime_disable_rising_ratio_lt50	random_apr	+0.00	+0.00	+0.00	0	0	+0.00	0	+0.00	0	results/regime_filter_sweep_20260509_175328\replay_morning_vwap2_regime_disable_rising_ratio_lt50_random_apr/
8	replay_morning_vwap2_regime_disable_rising_ratio_lt50	random_60d	+0.00	+0.00	+0.00	0	0	+0.00	0	+0.00	0	results/regime_filter_sweep_20260509_175328\replay_morning_vwap2_regime_disable_rising_ratio_lt50_random_60d/
9	replay_morning_vwap2_regime_disable_morning_weak__disable_rising_ratio_lt50	random_apr	+0.00	+0.00	+0.00	0	0	+0.00	0	+0.00	0	results/regime_filter_sweep_20260509_175328\replay_morning_vwap2_regime_disable_morning_weak__disable_rising_ratio_lt50_random_apr/
10	replay_morning_vwap2_regime_disable_morning_weak__disable_rising_ratio_lt50	random_60d	+0.00	+0.00	+0.00	0	0	+0.00	0	+0.00	0	results/regime_filter_sweep_20260509_175328\replay_morning_vwap2_regime_disable_morning_weak__disable_rising_ratio_lt50_random_60d/
