run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,32,59.375,20420.368388957264
2,,57,49.122807017543856,39628.06029729237
3,,53,49.056603773584904,2902.9005961355215
4,,54,46.2962962962963,-582.8121302141568
5,,63,57.14285714285714,260078.5023141305
6,,36,44.44444444444444,24867.692022452167
7,,52,48.07692307692308,25663.26006436217
8,,75,54.666666666666664,90085.8527863441
9,,38,31.57894736842105,-72029.86068621468
10,,51,43.13725490196079,281372.39799707686

TOTAL,,511,,672406.3616503221
AVG,,,48.289780068869824,67240.6361650322
