run_no,replay_seed,signals,win_rate_pct,pnl_yen_100_shares
1,,42,61.904761904761905,41340.27871728296
2,,64,50.0,318467.50455450744
3,,57,49.122807017543856,79401.37497548625
4,,55,60.0,242000.40947169822
5,,40,45.0,-17168.615687954723
6,,41,63.41463414634146,28538.228498707565
7,,39,58.97435897435898,11601.55976317871
8,,39,48.717948717948715,39006.59728164788
9,,38,39.473684210526315,-41075.621568853254
10,,42,45.23809523809524,-52773.24405438741

TOTAL,,457,,649338.4719513137
AVG,,,52.18462902095765,64933.84719513137
