signal_id,symbol,entry_time_utc,topix_chg_pct_raw,topix_chg_pct,market_state,blocked_reason,entry_allowed,exit_time_utc,entry_price,exit_price,profit_pct,pnl_yen_100_shares,exit_reason,position_closed,excluded_from_eval,excluded_reason
20260510_013049_g20_random_60d_run03_00001,6315.T,2026-04-10T00:11:00+00:00,-0.3008981259237345,-0.3008981259237345,WEAK,,False,,2685.6829999999995,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00002,5803.T,2026-04-10T00:38:00+00:00,-0.47642777197644487,-0.47642777197644487,WEAK,,False,,5525.5199999999995,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00003,6315.T,2026-04-10T00:58:00+00:00,-0.5265736334544905,-0.5265736334544905,WEAK,,False,,2748.7459999999996,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00004,6315.T,2026-04-10T01:05:00+00:00,-0.45135101506151193,-0.45135101506151193,WEAK,,False,,2764.7619999999997,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00005,5803.T,2026-04-10T01:10:00+00:00,-0.42627425814657893,-0.42627425814657893,WEAK,,False,,5542.536999999999,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00006,6315.T,2026-04-10T01:34:00+00:00,-0.2507522644456889,-0.2507522644456889,NORMAL,,False,,2752.7499999999995,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00007,5803.T,2026-04-10T01:55:00+00:00,-0.3761283966685333,-0.3761283966685333,NORMAL,,False,,5577.571999999999,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00008,5803.T,2026-04-10T02:10:00+00:00,-0.5265736334544905,-0.5265736334544905,WEAK,,False,,5608.602999999999,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00009,5803.T,2026-04-10T02:23:00+00:00,-0.5516503903694234,-0.5516503903694234,WEAK,,False,,5586.580999999999,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00010,7013.T,2026-04-13T00:10:00+00:00,0.22698458927726986,0.22698458927726986,NORMAL,,True,2026-04-13T00:21:00+00:00,3404.401,3382.0,-0.6580012166604299,-2240.4941427287636,VWAP_BREAK_EARLY,True,False,
20260510_013049_g20_random_60d_run03_00011,8136.T,2026-04-13T01:32:00+00:00,-0.07565896417875156,-0.07565896417875156,WEAK,,False,,977.6767122192382,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00012,5016.T,2026-04-21T00:10:00+00:00,1.2401907924042361,1.2401907924042361,NORMAL,,False,,4854.849999999999,,0.0,0.0,,False,True,SIGNAL_FILTER_GAP_GE
20260510_013049_g20_random_60d_run03_00013,5803.T,2026-04-21T01:21:00+00:00,1.5439144543868806,1.5439144543868806,NORMAL,,True,2026-04-21T01:52:00+00:00,5812.807,5796.0,-0.28913741674202825,-1681.0449409381522,RECENT_5M_LOW_BREAK_EARLY,True,False,
20260510_013049_g20_random_60d_run03_00014,8136.T,2026-04-21T01:56:00+00:00,1.5692183228741177,1.5692183228741177,NORMAL,,False,,1033.032,,0.0,0.0,,False,True,SIGNAL_FILTER_GAP_GE
20260510_013049_g20_random_60d_run03_00015,8136.T,2026-04-21T02:00:00+00:00,1.5439144543868806,1.5439144543868806,WEAK,,False,,1039.0379999999998,,0.0,0.0,,False,True,SIGNAL_FILTER_GAP_GE
20260510_013049_g20_random_60d_run03_00016,8136.T,2026-04-21T02:06:00+00:00,1.6451531003765687,1.6451531003765687,NORMAL,,False,,1049.5484999999999,,0.0,0.0,,False,True,SIGNAL_FILTER_GAP_GE
20260510_013049_g20_random_60d_run03_00017,8136.T,2026-04-21T02:28:00+00:00,1.4426680843836126,1.4426680843836126,NORMAL,,False,,1050.5494999999999,,0.0,0.0,,False,True,SIGNAL_FILTER_GAP_GE
20260510_013049_g20_random_60d_run03_00018,5803.T,2026-04-27T00:26:00+00:00,-1.5257568214575068,-1.5257568214575068,CRASH,"rising<40%,high_update_low,TOPIX_CRASH",False,,6119.112999999999,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00019,5803.T,2026-04-27T00:31:00+00:00,-1.500750421009773,-1.500750421009773,CRASH,"rising<40%,TOPIX_CRASH",False,,6145.138999999999,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00020,7011.T,2026-04-27T00:25:00+00:00,-1.5507708551166102,-1.5507708551166102,CRASH,"rising<40%,TOPIX_CRASH",False,,4647.642999999999,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00021,7011.T,2026-04-27T00:35:00+00:00,-1.400694286373359,-1.400694286373359,WEAK,,False,,4664.66,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00022,5803.T,2026-04-27T00:46:00+00:00,-1.1255628157573299,-1.1255628157573299,WEAK,,False,,6170.164,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00023,6501.T,2026-04-27T00:50:00+00:00,-1.3506738522665218,-1.3506738522665218,WEAK,,False,,5318.312999999999,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00024,5016.T,2026-04-27T00:47:00+00:00,-1.400694286373359,-1.400694286373359,WEAK,,False,,4803.798999999999,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00025,5803.T,2026-04-27T01:00:00+00:00,-1.2756317512892112,-1.2756317512892112,WEAK,,False,,6210.204,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00026,6501.T,2026-04-27T01:00:00+00:00,-1.2005972835232706,-1.2005972835232706,WEAK,,False,,5343.338,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00027,7011.T,2026-04-27T01:00:00+00:00,-1.0255066811209157,-1.0255066811209157,WEAK,,False,,4712.708,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00028,6315.T,2026-04-27T01:23:00+00:00,-0.725361176845783,-0.725361176845783,WEAK,,False,,2672.6699999999996,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00029,6501.T,2026-04-27T01:23:00+00:00,-0.8003956446117236,-0.8003956446117236,WEAK,,False,,5393.387999999999,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00030,7011.T,2026-04-27T01:23:00+00:00,-0.8504237119299308,-0.8504237119299308,WEAK,,False,,4718.713999999999,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00031,5016.T,2026-04-27T01:33:00+00:00,-0.675333109527576,-0.675333109527576,WEAK,,False,,4865.861,,0.0,0.0,,False,True,ENTRY_FILTER_VWAP_DIST>2%
20260510_013049_g20_random_60d_run03_00032,6920.T,2026-04-27T02:01:00+00:00,-0.725361176845783,-0.725361176845783,WEAK,,False,,45775.729999999996,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00033,6315.T,2026-04-27T02:11:00+00:00,-0.7753816109526201,-0.7753816109526201,WEAK,,False,,2708.7059999999997,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00034,8306.T,2026-04-30T00:38:00+00:00,-0.2528445006321113,-0.2528445006321113,WEAK,,False,,2821.8189999999995,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00035,8473.T,2026-04-30T01:18:00+00:00,-0.328694764341024,-0.328694764341024,NORMAL,,False,,3110.1069999999995,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00036,8473.T,2026-04-30T01:21:00+00:00,-0.4298387375553097,-0.4298387375553097,NORMAL,,False,,3122.1189999999997,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
20260510_013049_g20_random_60d_run03_00037,8473.T,2026-04-30T02:06:00+00:00,-0.328694764341024,-0.328694764341024,WEAK,,False,,3155.1519999999996,,0.0,0.0,,False,True,REGIME_FILTER_RISING_LT50
